FileName,FaceName,From,HangDang,MainColor,PuShi,InfoFacialPatten,InfoCharacter,InfoStory
ZhaoKuangYin,赵匡胤,斩黄袍,Sheng,Red,ZhengLian,赵匡胤虽为生行，单也画红色整脸。额上为盘云纹样，左眉间有红色草龙纹，表现其为真龙天子。白色眉表现了对他夺取他人江山，称帝后猜忌阴险的批判。,宋太祖赵匡胤，小名香孩儿 。五代至北宋初年军事家、政治家、战略家，宋朝开国皇帝。在“陈桥兵变”中被拥立为帝，并回京逼迫后周恭帝禅位。同年，赵匡胤登基为帝,五代时，苗训用计加黄袍于赵匡胤之身，使继帝位。封郑恩为北平王。河北韩龙进韩素梅，受封游街，遇郑恩，郑怒打之，韩逃入宫。郑赵匡胤醉后斩郑恩。陶三春闻而引兵围宫，赵酒醒痛悔，高斩韩龙，登城调解；陶三春斩赵所服黄袍泄忿后退兵。
GuanYu,关羽,华容道,Sheng,Red,ZhengLian,关羽为红生，即画红色整脸的生行。红色代表其忠肝义胆。面部丹凤眼，卧蚕眉是符合书中对其的描述。关羽脸谱原来有七颗朱砂痣，即七星痣，后随着演变，才剩一颗。（其实是三颗，但是一在耳前、一在耳后，不容易看见）。,关羽，字云长，小字长生。汉末三国时期名将。和刘备、张飞情同兄弟。雄壮威猛，号称“万人敌”、雅号“美髯公”。关羽去世后，民间尊为“关公”，历代朝廷多有褒封。清朝雍正时期，尊为“武圣”,曹兵临赤壁，为周瑜施火攻所败，全军覆没，狼狈北逃华容道，无法过关。曹探知为蜀将关云长所把守，又素知云长重于信义，乃苦苦哀求并陈以往日款待之义，纵之使归。云长因见其怜，果为所动，慨然允诺而释之，孟德始得逃脱。
CaoCao,曹操,华容道,Jing,White,ZhengLian,曹操是水白脸，水白脸表现善用心机而性好猜疑的特点。表面上笑容满脸，实际是笑里藏刀，不以真面目示人、勾黑色剑形眉，细长三角眼窝；眼角勾鱼尾纹，嘴角法令纹；眉间鼻旁黑斑黑痣形、鼻须；眉新勾斜蝠纹，,曹操，字孟德，东汉末年的政治家、军事家、文学家，但从戏剧到小说《三国演义》都把曹操描绘成一个白脸奸臣，突出他阴险多疑、手段毒辣的性格特点。,曹兵临赤壁，为周瑜施火攻所败，全军覆没，狼狈北逃华容道，无法过关。曹探知为蜀将关云长所把守，又素知云长重于信义，乃苦苦哀求并陈以往日款待之义，纵之使归。云长因见其怜，果为所动，慨然允诺而释之，曹操始得逃脱。
SiManYi,司马懿,空城计,Jing,White,ZhengLian,司马懿是水白脸，水白脸表现善用心机而性好猜疑的特点。表面上笑容满脸，实际是笑里藏刀，不以真面目示人；把他们的面孔涂上一层白粉，表示遮掩了真实面目。,司马懿，字仲达，三国时期曹魏政治家、军事家、谋略家，西晋王朝的奠基人之一。是曹操手下重要谋士，在《三国演义》中多次与诸葛亮交手。由于其篡夺曹魏政权，在戏剧中将其定义为奸臣反贼。,马谡违背诸葛亮的指示失了街亭之后，司马懿带领大兵来攻打诸葛亮驻扎的西城。当时诸葛亮身边没有兵将，只得以空城为计，大开城门故弄玄虚。司马懿到了一看，唯恐内有埋伏，因而撤兵离开。
DongZhuo,董卓,凤仪亭,Jing,White,ZhengLian,水白脸表现善用心机而性好猜疑的性格特点，同时也表现位高爵显、养尊处优的骄纵气度。水白脸多半是勾在权贵卿相的脸上，主要的是表现他们生活优越；表面上笑容满脸，实际是笑里藏刀；把他们的面孔涂上一层白粉，表示遮掩了真实面目。,董卓，字仲颖，东汉末年权臣。东汉末年，受大将军何进征召，进京讨伐十常侍，废汉少帝，拥立汉献帝刘协即位，出任太师。后受袁绍关东联军讨伐，被击败后退守长安。中司徒王允反间计，被吕布所杀。,董卓既纳貂蝉，吕布无由得见，乘董卓入朝，入内私见貂蝉，貂方梳妆，故作悲叹，与吕布私会于凤仪亭。董回府撞见，大怒，以吕布之戟追掷，父子反目。
HuangGai,黄盖,群英会,Jing,Pink,LiuFengLian,黄盖勾六分红脸，立柱纹印堂处细窄，向上展宽，点眉小而圆，称之为老眉。脸缘轮廓自上眼角后起笔，上至太阳穴，曲线高耸，白额匡阔，表现鹤发童颜。红脸表现忠勇耿直。,"黄盖，字公覆。东汉末年名将，历仕孙坚、孙策、孙权三任，为人严肃，善于训练士卒，每每征讨，他的部队皆勇猛善战。
赤壁之战时，黄盖前往曹营诈降，并趁机以火攻大破曹操的军队，是赤壁之战主要功臣之一。",曹操谋士蒋干，与周瑜故交，请求过江劝降。周瑜将计就计，盛会隆重宴请诸将和挚友，号称“群英会”。会后详装酒醉，将伪造蔡瑁、张允投降书信置于案头。蒋干趁周瑜“熟睡”之际，盗走降书告知曹操。曹操即刻斩了蔡张两人，方知自己中计。
GuoZiYi,郭子仪,满床笏,Jing,Pink,LiuFengLian,郭子仪是粉色六分老脸，圆眉为老眉，六分脸也成为老脸，表现老当益壮的神采。粉红在京剧中又称老红，是褪色的红，表现年轻时忠肝义胆，但因年老血气有所退却。,郭子仪，字子仪。唐代中兴名将、政治家、军事家。一生平定安史之乱、仆固怀恩之卵、等诸多乱事，历事玄、肃、代、德四帝，封汾阳郡王，世称郭令公。年八十五寿终，赐谥忠武、,唐朝名将汾阳王郭子仪六十大寿时，七子八婿皆来祝寿，由于他们都是朝廷里的高官，手中皆有笏板，拜寿时把笏板放满床头。后来这个主题被画成画，编成戏剧，写入小说，在民间广泛流传。
LianPo,廉颇,将相和,Jing,Pink,LiuFengLian,粉色六分老脸，圆眉为老眉，六分脸也成为老脸，表现老当益壮的神采。粉红在京剧中又称老红，是褪色的红，表现年轻时忠肝义胆，但因年老血气有所退却。。,廉颇，嬴姓，廉氏，名颇，字洪野 。 战国末期赵国名将，与白起、王翦、李牧并称“战国四大名将”。长平之战前期，坚守不出，成功抵御秦军进攻。击退燕国入侵，斩杀燕军主帅栗腹，进军包围燕都三月，令对方割五城求和。,京剧《将相和》描写战国邯郸蔺相如因完璧归赵，被封为赵国丞相。上将军廉颇居功自傲，屡次向蔺相如寻衅。蔺相如以国事为重，始终忍让。后经上大夫虞卿劝解，廉颇愧悔，至蔺相如府负荆请罪，将相和好，同心辅国。
YuChiGong,尉迟恭,白良关,Jing,Black,LiuFengLian,尉迟恭为黑色六分老脸，黑色被认为是公正勇猛的代表色，其谱黑色通天纹从鼻下直通额顶，将脸对称分开，白眉宽大，勾黑点眉，使任务性格更显端庄稳重。,尉迟敬德，本名尉迟恭，字敬德，。唐朝开国名将，“凌烟阁二十四功臣”之一。跟随刘武周起兵，后兵败归顺唐朝，赐名尉迟恭。跟随秦王李世民，参与唐初统一战争。参加玄武门之变，受封右武候大将军、吴国公。,"尉迟恭出山前打造雌雄钢鞭一对。于投军与妻子分离时，在鞭上镌刻自己和未产儿尉迟宝林名字，夫妻各执一鞭，方便日后相认。
但不久，家中遭受强盗，其妻被刘国珍强占。二十年后，尉迟恭挂副帅出征至白良关，在战产见到孩儿，父子相认。"
ZhangFei,张飞,龙凤呈祥,Jing,Black,ShiZiMengLian,张飞为黑十字门蝴蝶脸，早期为黑色脸，随着脸谱发展黑色区域越来越小，但任被称作黑脸。黑色表现其勇猛善战的特点。蝴蝶善飞，故脸谱中暗藏飞字。豹头环眼寓意其凶猛、骁勇之相。眼窝鼻窝向外舒展，似大笑神态。表现角色性格开朗，天真爽朗的性格。,张飞，字翼德，三国时期蜀汉名将。张飞勇武过人，与结拜兄弟关羽并称为“万人敌”。黄金起义爆发，刘关张三人桃园结义，发兵平乱。曾在虎牢关与关羽、刘备一起迎战吕布。长坂坡当阳桥头上一声吼，吓退曹操五千精骑，入川义释严颜。,孙权因刘备占据荆州不还，便设计假称以妹尚香许婚刘备。诸葛亮识破，使刘借在甘露寺见吴国太，弄假成真。刘备赘婚东吴后，周瑜以美色让其沉迷。赵云用诸葛亮所付锦囊妙计，使刘备携孙尚香同走。后周瑜率兵继至，诸葛亮已预备接应，周瑜反为张飞所败。
